,id,count,date,year,month,species
11,EM,2,Jan-2022,2022,Jan,Bald Eagle
12,BP,0,Jan-2022,2022,Jan,Bald Eagle
13,NF1,1,Jan-2022,2022,Jan,Bald Eagle
14,NF2,0,Jan-2022,2022,Jan,Bald Eagle
15,SA,0,Jan-2022,2022,Jan,Bald Eagle
16,IM,0,Jan-2022,2022,Jan,Bald Eagle
17,MC1,1,Jan-2022,2022,Jan,Bald Eagle
18,MC2,0,Jan-2022,2022,Jan,Bald Eagle
19,DW,0,Jan-2022,2022,Jan,Bald Eagle
0,OE,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
1,WD,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
2,SR,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
3,TD1,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
4,TD2,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
5,TD3,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
6,EF1,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
7,EF2,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
8,CC,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
9,CS,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
10,EC,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
11,EM,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
12,BP,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
13,NF1,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
14,NF2,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
15,SA,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
16,IM,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
17,MC1,2,Jan-2022,2022,Jan,Barrrow's Goldeneye
18,MC2,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
19,DW,0,Jan-2022,2022,Jan,Barrrow's Goldeneye
0,OE,0,Jan-2022,2022,Jan,Belted Kingfisher
1,WD,0,Jan-2022,2022,Jan,Belted Kingfisher
2,SR,1,Jan-2022,2022,Jan,Belted Kingfisher
3,TD1,0,Jan-2022,2022,Jan,Belted Kingfisher
4,TD2,0,Jan-2022,2022,Jan,Belted Kingfisher
5,TD3,0,Jan-2022,2022,Jan,Belted Kingfisher
6,EF1,0,Jan-2022,2022,Jan,Belted Kingfisher
7,EF2,0,Jan-2022,2022,Jan,Belted Kingfisher
8,CC,0,Jan-2022,2022,Jan,Belted Kingfisher
9,CS,0,Jan-2022,2022,Jan,Belted Kingfisher
10,EC,0,Jan-2022,2022,Jan,Belted Kingfisher
11,EM,0,Jan-2022,2022,Jan,Belted Kingfisher
12,BP,0,Jan-2022,2022,Jan,Belted Kingfisher
13,NF1,0,Jan-2022,2022,Jan,Belted Kingfisher
14,NF2,0,Jan-2022,2022,Jan,Belted Kingfisher
15,SA,1,Jan-2022,2022,Jan,Belted Kingfisher
16,IM,0,Jan-2022,2022,Jan,Belted Kingfisher
17,MC1,0,Jan-2022,2022,Jan,Belted Kingfisher
18,MC2,0,Jan-2022,2022,Jan,Belted Kingfisher
19,DW,0,Jan-2022,2022,Jan,Belted Kingfisher
0,OE,0,Jan-2022,2022,Jan,Black-capped Chickadee
1,WD,0,Jan-2022,2022,Jan,Black-capped Chickadee
2,SR,0,Jan-2022,2022,Jan,Black-capped Chickadee
3,TD1,2,Jan-2022,2022,Jan,Black-capped Chickadee
4,TD2,1,Jan-2022,2022,Jan,Black-capped Chickadee
5,TD3,0,Jan-2022,2022,Jan,Black-capped Chickadee
6,EF1,0,Jan-2022,2022,Jan,Black-capped Chickadee
7,EF2,0,Jan-2022,2022,Jan,Black-capped Chickadee
8,CC,0,Jan-2022,2022,Jan,Black-capped Chickadee
9,CS,4,Jan-2022,2022,Jan,Black-capped Chickadee
10,EC,0,Jan-2022,2022,Jan,Black-capped Chickadee
11,EM,2,Jan-2022,2022,Jan,Black-capped Chickadee
12,BP,18,Jan-2022,2022,Jan,Black-capped Chickadee
13,NF1,4,Jan-2022,2022,Jan,Black-capped Chickadee
14,NF2,2,Jan-2022,2022,Jan,Black-capped Chickadee
15,SA,6,Jan-2022,2022,Jan,Black-capped Chickadee
16,IM,0,Jan-2022,2022,Jan,Black-capped Chickadee
17,MC1,8,Jan-2022,2022,Jan,Black-capped Chickadee
18,MC2,0,Jan-2022,2022,Jan,Black-capped Chickadee
19,DW,8,Jan-2022,2022,Jan,Black-capped Chickadee
0,OE,0,Jan-2022,2022,Jan,Bohemian Waxwing
1,WD,0,Jan-2022,2022,Jan,Bohemian Waxwing
2,SR,0,Jan-2022,2022,Jan,Bohemian Waxwing
3,TD1,0,Jan-2022,2022,Jan,Bohemian Waxwing
4,TD2,0,Jan-2022,2022,Jan,Bohemian Waxwing
5,TD3,0,Jan-2022,2022,Jan,Bohemian Waxwing
6,EF1,0,Jan-2022,2022,Jan,Bohemian Waxwing
7,EF2,0,Jan-2022,2022,Jan,Bohemian Waxwing
8,CC,0,Jan-2022,2022,Jan,Bohemian Waxwing
9,CS,0,Jan-2022,2022,Jan,Bohemian Waxwing
10,EC,0,Jan-2022,2022,Jan,Bohemian Waxwing
11,EM,0,Jan-2022,2022,Jan,Bohemian Waxwing
12,BP,0,Jan-2022,2022,Jan,Bohemian Waxwing
13,NF1,0,Jan-2022,2022,Jan,Bohemian Waxwing
14,NF2,0,Jan-2022,2022,Jan,Bohemian Waxwing
15,SA,0,Jan-2022,2022,Jan,Bohemian Waxwing
16,IM,0,Jan-2022,2022,Jan,Bohemian Waxwing
17,MC1,0,Jan-2022,2022,Jan,Bohemian Waxwing
18,MC2,0,Jan-2022,2022,Jan,Bohemian Waxwing
19,DW,1,Jan-2022,2022,Jan,Bohemian Waxwing
0,OE,0,Jan-2022,2022,Jan,Brown Creeper
1,WD,0,Jan-2022,2022,Jan,Brown Creeper
2,SR,0,Jan-2022,2022,Jan,Brown Creeper
3,TD1,0,Jan-2022,2022,Jan,Brown Creeper
4,TD2,0,Jan-2022,2022,Jan,Brown Creeper
5,TD3,0,Jan-2022,2022,Jan,Brown Creeper
6,EF1,0,Jan-2022,2022,Jan,Brown Creeper
7,EF2,0,Jan-2022,2022,Jan,Brown Creeper
8,CC,0,Jan-2022,2022,Jan,Brown Creeper
9,CS,0,Jan-2022,2022,Jan,Brown Creeper
10,EC,0,Jan-2022,2022,Jan,Brown Creeper
11,EM,0,Jan-2022,2022,Jan,Brown Creeper
12,BP,0,Jan-2022,2022,Jan,Brown Creeper
13,NF1,0,Jan-2022,2022,Jan,Brown Creeper
14,NF2,0,Jan-2022,2022,Jan,Brown Creeper
15,SA,1,Jan-2022,2022,Jan,Brown Creeper
16,IM,0,Jan-2022,2022,Jan,Brown Creeper
17,MC1,0,Jan-2022,2022,Jan,Brown Creeper
18,MC2,0,Jan-2022,2022,Jan,Brown Creeper
19,DW,1,Jan-2022,2022,Jan,Brown Creeper
0,OE,0,Jan-2022,2022,Jan,Bufflehead
1,WD,2,Jan-2022,2022,Jan,Bufflehead
2,SR,4,Jan-2022,2022,Jan,Bufflehead
3,TD1,0,Jan-2022,2022,Jan,Bufflehead
4,TD2,0,Jan-2022,2022,Jan,Bufflehead
5,TD3,0,Jan-2022,2022,Jan,Bufflehead
6,EF1,0,Jan-2022,2022,Jan,Bufflehead
7,EF2,0,Jan-2022,2022,Jan,Bufflehead
8,CC,0,Jan-2022,2022,Jan,Bufflehead
9,CS,8,Jan-2022,2022,Jan,Bufflehead
10,EC,2,Jan-2022,2022,Jan,Bufflehead
11,EM,2,Jan-2022,2022,Jan,Bufflehead
12,BP,2,Jan-2022,2022,Jan,Bufflehead
13,NF1,1,Jan-2022,2022,Jan,Bufflehead
14,NF2,4,Jan-2022,2022,Jan,Bufflehead
15,SA,0,Jan-2022,2022,Jan,Bufflehead
16,IM,0,Jan-2022,2022,Jan,Bufflehead
17,MC1,15,Jan-2022,2022,Jan,Bufflehead
18,MC2,5,Jan-2022,2022,Jan,Bufflehead
19,DW,0,Jan-2022,2022,Jan,Bufflehead
0,OE,0,Jan-2022,2022,Jan,Canada Goose
1,WD,50,Jan-2022,2022,Jan,Canada Goose
2,SR,0,Jan-2022,2022,Jan,Canada Goose
3,TD1,0,Jan-2022,2022,Jan,Canada Goose
4,TD2,0,Jan-2022,2022,Jan,Canada Goose
5,TD3,0,Jan-2022,2022,Jan,Canada Goose
6,EF1,67,Jan-2022,2022,Jan,Canada Goose
7,EF2,0,Jan-2022,2022,Jan,Canada Goose
8,CC,137,Jan-2022,2022,Jan,Canada Goose
9,CS,32,Jan-2022,2022,Jan,Canada Goose
10,EC,28,Jan-2022,2022,Jan,Canada Goose
11,EM,15,Jan-2022,2022,Jan,Canada Goose
12,BP,14,Jan-2022,2022,Jan,Canada Goose
13,NF1,0,Jan-2022,2022,Jan,Canada Goose
14,NF2,6,Jan-2022,2022,Jan,Canada Goose
15,SA,0,Jan-2022,2022,Jan,Canada Goose
16,IM,0,Jan-2022,2022,Jan,Canada Goose
17,MC1,7,Jan-2022,2022,Jan,Canada Goose
18,MC2,0,Jan-2022,2022,Jan,Canada Goose
19,DW,0,Jan-2022,2022,Jan,Canada Goose
0,OE,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
1,WD,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
2,SR,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
3,TD1,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
4,TD2,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
5,TD3,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
6,EF1,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
7,EF2,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
8,CC,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
9,CS,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
10,EC,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
11,EM,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
12,BP,2,Jan-2022,2022,Jan,Chestnut-backed Chickadee
13,NF1,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
14,NF2,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
15,SA,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
16,IM,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
17,MC1,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
18,MC2,0,Jan-2022,2022,Jan,Chestnut-backed Chickadee
19,DW,5,Jan-2022,2022,Jan,Chestnut-backed Chickadee
0,OE,0,Jan-2022,2022,Jan,Common Goldeneye
1,WD,0,Jan-2022,2022,Jan,Common Goldeneye
2,SR,6,Jan-2022,2022,Jan,Common Goldeneye
3,TD1,0,Jan-2022,2022,Jan,Common Goldeneye
4,TD2,0,Jan-2022,2022,Jan,Common Goldeneye
5,TD3,0,Jan-2022,2022,Jan,Common Goldeneye
6,EF1,0,Jan-2022,2022,Jan,Common Goldeneye
7,EF2,0,Jan-2022,2022,Jan,Common Goldeneye
8,CC,0,Jan-2022,2022,Jan,Common Goldeneye
9,CS,2,Jan-2022,2022,Jan,Common Goldeneye
10,EC,0,Jan-2022,2022,Jan,Common Goldeneye
11,EM,0,Jan-2022,2022,Jan,Common Goldeneye
12,BP,0,Jan-2022,2022,Jan,Common Goldeneye
13,NF1,0,Jan-2022,2022,Jan,Common Goldeneye
14,NF2,0,Jan-2022,2022,Jan,Common Goldeneye
15,SA,0,Jan-2022,2022,Jan,Common Goldeneye
16,IM,0,Jan-2022,2022,Jan,Common Goldeneye
17,MC1,3,Jan-2022,2022,Jan,Common Goldeneye
18,MC2,0,Jan-2022,2022,Jan,Common Goldeneye
19,DW,0,Jan-2022,2022,Jan,Common Goldeneye
0,OE,1,Jan-2022,2022,Jan,Common Merganser
1,WD,0,Jan-2022,2022,Jan,Common Merganser
2,SR,1,Jan-2022,2022,Jan,Common Merganser
3,TD1,0,Jan-2022,2022,Jan,Common Merganser
4,TD2,0,Jan-2022,2022,Jan,Common Merganser
5,TD3,0,Jan-2022,2022,Jan,Common Merganser
6,EF1,0,Jan-2022,2022,Jan,Common Merganser
7,EF2,0,Jan-2022,2022,Jan,Common Merganser
8,CC,0,Jan-2022,2022,Jan,Common Merganser
9,CS,0,Jan-2022,2022,Jan,Common Merganser
10,EC,0,Jan-2022,2022,Jan,Common Merganser
11,EM,0,Jan-2022,2022,Jan,Common Merganser
12,BP,0,Jan-2022,2022,Jan,Common Merganser
13,NF1,0,Jan-2022,2022,Jan,Common Merganser
14,NF2,0,Jan-2022,2022,Jan,Common Merganser
15,SA,0,Jan-2022,2022,Jan,Common Merganser
16,IM,0,Jan-2022,2022,Jan,Common Merganser
17,MC1,2,Jan-2022,2022,Jan,Common Merganser
18,MC2,0,Jan-2022,2022,Jan,Common Merganser
19,DW,0,Jan-2022,2022,Jan,Common Merganser
0,OE,0,Jan-2022,2022,Jan,Common Raven
1,WD,0,Jan-2022,2022,Jan,Common Raven
2,SR,0,Jan-2022,2022,Jan,Common Raven
3,TD1,2,Jan-2022,2022,Jan,Common Raven
4,TD2,9,Jan-2022,2022,Jan,Common Raven
5,TD3,32,Jan-2022,2022,Jan,Common Raven
6,EF1,4,Jan-2022,2022,Jan,Common Raven
7,EF2,4,Jan-2022,2022,Jan,Common Raven
8,CC,0,Jan-2022,2022,Jan,Common Raven
9,CS,0,Jan-2022,2022,Jan,Common Raven
10,EC,0,Jan-2022,2022,Jan,Common Raven
11,EM,0,Jan-2022,2022,Jan,Common Raven
12,BP,5,Jan-2022,2022,Jan,Common Raven
13,NF1,4,Jan-2022,2022,Jan,Common Raven
14,NF2,4,Jan-2022,2022,Jan,Common Raven
15,SA,1,Jan-2022,2022,Jan,Common Raven
16,IM,0,Jan-2022,2022,Jan,Common Raven
17,MC1,3,Jan-2022,2022,Jan,Common Raven
18,MC2,0,Jan-2022,2022,Jan,Common Raven
19,DW,0,Jan-2022,2022,Jan,Common Raven
0,OE,0,Jan-2022,2022,Jan,Cooper's Hawk
1,WD,0,Jan-2022,2022,Jan,Cooper's Hawk
2,SR,0,Jan-2022,2022,Jan,Cooper's Hawk
3,TD1,0,Jan-2022,2022,Jan,Cooper's Hawk
4,TD2,0,Jan-2022,2022,Jan,Cooper's Hawk
5,TD3,0,Jan-2022,2022,Jan,Cooper's Hawk
6,EF1,0,Jan-2022,2022,Jan,Cooper's Hawk
7,EF2,0,Jan-2022,2022,Jan,Cooper's Hawk
8,CC,0,Jan-2022,2022,Jan,Cooper's Hawk
9,CS,0,Jan-2022,2022,Jan,Cooper's Hawk
10,EC,0,Jan-2022,2022,Jan,Cooper's Hawk
11,EM,1,Jan-2022,2022,Jan,Cooper's Hawk
12,BP,0,Jan-2022,2022,Jan,Cooper's Hawk
13,NF1,0,Jan-2022,2022,Jan,Cooper's Hawk
14,NF2,0,Jan-2022,2022,Jan,Cooper's Hawk
15,SA,0,Jan-2022,2022,Jan,Cooper's Hawk
16,IM,0,Jan-2022,2022,Jan,Cooper's Hawk
17,MC1,0,Jan-2022,2022,Jan,Cooper's Hawk
18,MC2,0,Jan-2022,2022,Jan,Cooper's Hawk
19,DW,0,Jan-2022,2022,Jan,Cooper's Hawk
0,OE,0,Jan-2022,2022,Jan,Dark-eyed Junco
1,WD,0,Jan-2022,2022,Jan,Dark-eyed Junco
2,SR,0,Jan-2022,2022,Jan,Dark-eyed Junco
3,TD1,4,Jan-2022,2022,Jan,Dark-eyed Junco
4,TD2,2,Jan-2022,2022,Jan,Dark-eyed Junco
5,TD3,0,Jan-2022,2022,Jan,Dark-eyed Junco
6,EF1,0,Jan-2022,2022,Jan,Dark-eyed Junco
7,EF2,0,Jan-2022,2022,Jan,Dark-eyed Junco
8,CC,0,Jan-2022,2022,Jan,Dark-eyed Junco
9,CS,10,Jan-2022,2022,Jan,Dark-eyed Junco
10,EC,0,Jan-2022,2022,Jan,Dark-eyed Junco
11,EM,0,Jan-2022,2022,Jan,Dark-eyed Junco
12,BP,50,Jan-2022,2022,Jan,Dark-eyed Junco
13,NF1,0,Jan-2022,2022,Jan,Dark-eyed Junco
14,NF2,0,Jan-2022,2022,Jan,Dark-eyed Junco
15,SA,0,Jan-2022,2022,Jan,Dark-eyed Junco
16,IM,0,Jan-2022,2022,Jan,Dark-eyed Junco
17,MC1,1,Jan-2022,2022,Jan,Dark-eyed Junco
18,MC2,0,Jan-2022,2022,Jan,Dark-eyed Junco
19,DW,21,Jan-2022,2022,Jan,Dark-eyed Junco
0,OE,15,Jan-2022,2022,Jan,Double-crested Cormorant
1,WD,0,Jan-2022,2022,Jan,Double-crested Cormorant
2,SR,0,Jan-2022,2022,Jan,Double-crested Cormorant
3,TD1,0,Jan-2022,2022,Jan,Double-crested Cormorant
4,TD2,0,Jan-2022,2022,Jan,Double-crested Cormorant
5,TD3,0,Jan-2022,2022,Jan,Double-crested Cormorant
6,EF1,0,Jan-2022,2022,Jan,Double-crested Cormorant
7,EF2,0,Jan-2022,2022,Jan,Double-crested Cormorant
8,CC,0,Jan-2022,2022,Jan,Double-crested Cormorant
9,CS,0,Jan-2022,2022,Jan,Double-crested Cormorant
10,EC,0,Jan-2022,2022,Jan,Double-crested Cormorant
11,EM,0,Jan-2022,2022,Jan,Double-crested Cormorant
12,BP,1,Jan-2022,2022,Jan,Double-crested Cormorant
13,NF1,0,Jan-2022,2022,Jan,Double-crested Cormorant
14,NF2,0,Jan-2022,2022,Jan,Double-crested Cormorant
15,SA,0,Jan-2022,2022,Jan,Double-crested Cormorant
16,IM,0,Jan-2022,2022,Jan,Double-crested Cormorant
17,MC1,1,Jan-2022,2022,Jan,Double-crested Cormorant
18,MC2,0,Jan-2022,2022,Jan,Double-crested Cormorant
19,DW,0,Jan-2022,2022,Jan,Double-crested Cormorant
0,OE,0,Jan-2022,2022,Jan,Downy Woodpecker
1,WD,0,Jan-2022,2022,Jan,Downy Woodpecker
2,SR,0,Jan-2022,2022,Jan,Downy Woodpecker
3,TD1,1,Jan-2022,2022,Jan,Downy Woodpecker
4,TD2,3,Jan-2022,2022,Jan,Downy Woodpecker
5,TD3,0,Jan-2022,2022,Jan,Downy Woodpecker
6,EF1,0,Jan-2022,2022,Jan,Downy Woodpecker
7,EF2,1,Jan-2022,2022,Jan,Downy Woodpecker
8,CC,0,Jan-2022,2022,Jan,Downy Woodpecker
9,CS,0,Jan-2022,2022,Jan,Downy Woodpecker
10,EC,0,Jan-2022,2022,Jan,Downy Woodpecker
11,EM,0,Jan-2022,2022,Jan,Downy Woodpecker
12,BP,0,Jan-2022,2022,Jan,Downy Woodpecker
13,NF1,0,Jan-2022,2022,Jan,Downy Woodpecker
14,NF2,0,Jan-2022,2022,Jan,Downy Woodpecker
15,SA,0,Jan-2022,2022,Jan,Downy Woodpecker
16,IM,0,Jan-2022,2022,Jan,Downy Woodpecker
17,MC1,0,Jan-2022,2022,Jan,Downy Woodpecker
18,MC2,0,Jan-2022,2022,Jan,Downy Woodpecker
19,DW,1,Jan-2022,2022,Jan,Downy Woodpecker
0,OE,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
1,WD,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
2,SR,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
3,TD1,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
4,TD2,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
5,TD3,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
6,EF1,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
7,EF2,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
8,CC,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
9,CS,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
10,EC,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
11,EM,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
12,BP,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
13,NF1,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
14,NF2,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
15,SA,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
16,IM,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
17,MC1,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
18,MC2,0,Jan-2022,2022,Jan,Eurasian Collared-Dove
19,DW,2,Jan-2022,2022,Jan,Eurasian Collared-Dove
0,OE,0,Jan-2022,2022,Jan,Fox Sparrow
1,WD,0,Jan-2022,2022,Jan,Fox Sparrow
2,SR,0,Jan-2022,2022,Jan,Fox Sparrow
3,TD1,0,Jan-2022,2022,Jan,Fox Sparrow
4,TD2,0,Jan-2022,2022,Jan,Fox Sparrow
5,TD3,0,Jan-2022,2022,Jan,Fox Sparrow
6,EF1,0,Jan-2022,2022,Jan,Fox Sparrow
7,EF2,0,Jan-2022,2022,Jan,Fox Sparrow
8,CC,0,Jan-2022,2022,Jan,Fox Sparrow
9,CS,0,Jan-2022,2022,Jan,Fox Sparrow
10,EC,0,Jan-2022,2022,Jan,Fox Sparrow
11,EM,0,Jan-2022,2022,Jan,Fox Sparrow
12,BP,0,Jan-2022,2022,Jan,Fox Sparrow
13,NF1,1,Jan-2022,2022,Jan,Fox Sparrow
